ContigName	FR32_ATCACG_before.dedup_counts.txt_UniqueTotReads	FR33_TTAGGC_before.dedup_counts.txt_UniqueTotReads	FR34_ACTTGA_before.dedup_counts.txt_UniqueTotReads	FR35_GATCAG_before.dedup_counts.txt_UniqueTotReads	FR36_TAGCTT_before.dedup_counts.txt_UniqueTotReads	FR37_GGCTAC_before.dedup_counts.txt_UniqueTotReads	FR77_ATCACG_after.dedup_counts.txt_UniqueTotReads	FR78_TTAGGC_after.dedup_counts.txt_UniqueTotReads	FR79_ACTTGA_after.dedup_counts.txt_UniqueTotReads	FR80_GATCAG_after.dedup_counts.txt_UniqueTotReads	FR81_TAGCTT_after.dedup_counts.txt_UniqueTotReads	FR82_GGCTAC_after.dedup_counts.txt_UniqueTotReads
comp0_c0_seq1	2	2	6	2	3	1	2	4	5	5	2	4
comp1000_c0_seq1	23	23	19	23	20	16	24	21	31	39	18	9
comp1001_c0_seq1	2	4	4	7	4	8	1	2	4	2	0	0
comp1002_c0_seq1	8	8	13	3	4	8	6	6	9	7	10	4
comp1003_c0_seq1	2	9	3	1	2	6	1	7	2	6	2	3
comp1004_c0_seq1	3	8	9	9	9	11	8	13	12	8	5	3
comp1005_c0_seq1	14	20	12	6	9	10	17	11	9	6	5	11
comp1006_c0_seq1	13	5	9	4	4	8	6	3	8	11	13	7
comp1007_c0_seq1	38	31	36	38	37	32	34	43	46	42	48	30
comp1008_c0_seq1	0	3	9	0	54	1	16	0	5	0	0	0
comp1009_c0_seq1	12	18	23	16	6	23	24	17	9	35	18	14
comp100_c0_seq1	28	17	21	21	6	23	39	32	35	44	27	20
comp1010_c0_seq1	3	4	7	5	3	6	4	6	6	2	3	2
comp1011_c0_seq1	3	13	6	1	3	10	8	7	10	6	7	2
comp1012_c0_seq1	12	29	7	18	31	14	9	9	15	22	12	10
comp1013_c0_seq1	9	9	10	10	12	13	15	8	7	8	8	26
comp1014_c0_seq1	16	15	10	12	8	9	16	6	15	10	12	10
comp1015_c0_seq1	7	7	10	5	3	12	24	16	17	21	23	17
comp1016_c0_seq1	60	63	0	0	0	0	0	0	0	91	0	0
comp1017_c0_seq1	12	13	17	15	14	12	14	14	14	11	18	15
comp1018_c0_seq1	16	15	14	29	8	11	13	18	23	30	8	20
comp1019_c0_seq1	3	9	4	4	3	4	6	4	4	6	7	5
comp101_c0_seq1	53	47	48	40	38	54	60	39	44	36	61	40
comp1020_c0_seq1	31	32	35	43	16	18	35	32	33	35	34	25
comp1021_c0_seq1	4	4	5	1	3	3	5	4	8	4	4	1
comp1022_c0_seq1	4	2	2	4	6	6	4	2	5	8	2	10
comp1023_c0_seq1	59	40	0	0	0	0	0	0	0	76	3	0
comp1024_c0_seq1	9	7	5	11	11	3	6	10	8	6	7	6
comp1025_c0_seq1	29	3	4	1	3	2	12	1	5	3	11	5
comp1026_c0_seq1	5	1	12	1	3	2	10	15	11	21	17	6
comp1027_c0_seq1	9	6	9	3	2	5	10	6	8	11	9	13
comp1028_c0_seq1	24	26	16	35	11	16	24	31	16	32	31	9
comp1029_c0_seq1	20	9	13	13	14	13	23	13	17	15	13	17
comp1030_c0_seq1	12	35	38	4	80	50	18	18	23	11	23	6
comp1031_c0_seq1	9	8	8	12	15	11	15	14	19	12	9	6
comp1032_c0_seq1	10	25	44	7	8	16	4	14	18	4	3	4
comp1033_c0_seq1	4	16	12	7	4	7	6	5	8	8	7	6
comp1034_c0_seq1	18	19	13	6	8	28	16	24	9	18	21	11
comp1035_c0_seq1	29	41	45	27	24	25	44	36	32	38	38	39
comp1036_c0_seq1	6	13	12	12	9	22	15	11	13	13	10	25
comp1037_c0_seq1	7	7	12	10	2	7	11	7	9	11	9	8
comp1038_c0_seq1	6	4	3	5	7	1	4	5	5	4	4	5
comp1039_c0_seq1	15	26	26	31	31	27	20	23	28	32	21	25
comp103_c0_seq1	104	95	94	171	132	129	97	92	125	111	73	95
comp1040_c0_seq1	14	17	18	24	28	15	17	12	20	24	11	9
comp1041_c0_seq1	0	2	1	3	0	3	2	0	0	0	0	0
comp1042_c0_seq1	10	7	9	5	0	6	7	7	6	8	4	6
comp1043_c0_seq1	17	22	8	17	17	24	9	20	28	11	22	12
comp1044_c0_seq1	5	3	6	6	10	7	4	5	3	9	6	4
comp1045_c0_seq1	15	15	19	7	9	11	10	8	20	24	13	8
comp1046_c0_seq1	15	13	17	3	22	18	9	8	6	5	19	7
comp1047_c0_seq1	8	9	8	6	11	4	8	5	5	5	11	9
